是否法定,地形,是否農用,特性,使用類型,面積
法定農業用地,平地範圍,農業使用,露天生產,農糧作物,45375.26
法定農業用地,平地範圍,農業使用,露天生產,養殖魚塭,3,059.77
法定農業用地,平地範圍,農業使用,露天生產,畜牧使用,937.25
法定農業用地,平地範圍,農業使用,露天生產,林業使用,1568
法定農業用地,平地範圍,農業使用,露天生產,休閒農場,24.88
法定農業用地,平地範圍,農業使用,露天生產,資源保育,3086.96
法定農業用地,平地範圍,農業使用,生產型設施,農糧作物,976.73
法定農業用地,平地範圍,農業使用,生產型設施,養殖魚塭,0.24
法定農業用地,平地範圍,農業使用,管理型設施,養殖魚塭,28.92
法定農業用地,平地範圍,農業使用,管理型設施,休閒農場,3.5
法定農業用地,平地範圍,農業使用,管理型設施,農村再生及水保設施,2
法定農業用地,平地範圍,農業使用,管理型設施,農水路使用,3240.04
法定農業用地,平地範圍,非農業使用,合法,道路或道路設施（含停車場）,859.44
法定農業用地,平地範圍,非農業使用,合法,河川或水利設施,1390.22
法定農業用地,平地範圍,非農業使用,合法,農舍,26.81
法定農業用地,平地範圍,非農業使用,合法,公共或公用設施,58.59
法定農業用地,平地範圍,非農業使用,合法,其他使用,1.35
法定農業用地,平地範圍,非農業使用,違規,農舍,24.34
法定農業用地,平地範圍,非農業使用,違規,住宅,1075.82
法定農業用地,平地範圍,非農業使用,違規,工廠,2,234.99
法定農業用地,平地範圍,非農業使用,違規,商場或餐廳,268.34
法定農業用地,平地範圍,非農業使用,違規,殯葬設施,153.71
法定農業用地,平地範圍,非農業使用,違規,宗教寺廟,90.1
法定農業用地,平地範圍,非農業使用,違規,公共或公用設施,173.92
法定農業用地,平地範圍,非農業使用,違規,土石採取或堆置,80.89
法定農業用地,平地範圍,非農業使用,違規,遊憩設施,42.03
法定農業用地,平地範圍,非農業使用,違規,其他使用,1576.78
