是否法定,地形,特性,使用類型,面積
法定農業用地,山坡地範圍,宜農牧地,農糧作物,71596
法定農業用地,山坡地範圍,宜農牧地,養殖魚塭,170
法定農業用地,山坡地範圍,宜農牧地,畜牧使用,1314
法定農業用地,山坡地範圍,宜農牧地,林業使用,188311
法定農業用地,山坡地範圍,宜農牧地,休閒農場,361
法定農業用地,山坡地範圍,宜農牧地,農村再生及水保設施,7
法定農業用地,山坡地範圍,宜農牧地,資源保育,98929
法定農業用地,山坡地範圍,宜農牧地,道路或道路設施（含停車場）,7282
法定農業用地,山坡地範圍,宜農牧地,河川或水利設施,4917
法定農業用地,山坡地範圍,宜農牧地,農舍、住宅、工廠、商場或餐廳,9123
法定農業用地,山坡地範圍,宜農牧地,殯葬設施,1821
法定農業用地,山坡地範圍,宜農牧地,土石採取或堆置,345
法定農業用地,山坡地範圍,宜農牧地,遊憩設施,2459
法定農業用地,山坡地範圍,宜農牧地,其他使用,4410
法定農業用地,山坡地範圍,宜林地,農糧作物,6199
法定農業用地,山坡地範圍,宜林地,養殖魚塭,10
法定農業用地,山坡地範圍,宜林地,畜牧使用,59
法定農業用地,山坡地範圍,宜林地,林業使用,294893
法定農業用地,山坡地範圍,宜林地,休閒農場,240
法定農業用地,山坡地範圍,宜林地,資源保育,51533
法定農業用地,山坡地範圍,宜林地,道路或道路設施（含停車場）,2872
法定農業用地,山坡地範圍,宜林地,河川或水利設施,3556
法定農業用地,山坡地範圍,宜林地,農舍、住宅、工廠、商場或餐廳,1130
法定農業用地,山坡地範圍,宜林地,殯葬設施,280
法定農業用地,山坡地範圍,宜林地,土石採取或堆置,178
法定農業用地,山坡地範圍,宜林地,遊憩設施,565
法定農業用地,山坡地範圍,宜林地,其他使用,1241
法定農業用地,山坡地範圍,加強保育地,農糧作物,139
法定農業用地,山坡地範圍,加強保育地,畜牧使用,3
法定農業用地,山坡地範圍,加強保育地,林業使用,3341
法定農業用地,山坡地範圍,加強保育地,資源保育,10576
法定農業用地,山坡地範圍,加強保育地,道路或道路設施（含停車場）,32
法定農業用地,山坡地範圍,加強保育地,河川或水利設施,240
法定農業用地,山坡地範圍,加強保育地,農舍、住宅、工廠、商場或餐廳,10
法定農業用地,山坡地範圍,加強保育地,殯葬設施,2
法定農業用地,山坡地範圍,加強保育地,土石採取或堆置,2
法定農業用地,山坡地範圍,加強保育地,遊憩設施,2
法定農業用地,山坡地範圍,加強保育地,其他使用,27
法定農業用地,山坡地範圍,未查定地,農糧作物,5258
法定農業用地,山坡地範圍,未查定地,養殖魚塭,22
法定農業用地,山坡地範圍,未查定地,畜牧使用,115
法定農業用地,山坡地範圍,未查定地,林業使用,42905
法定農業用地,山坡地範圍,未查定地,休閒農場,12
法定農業用地,山坡地範圍,未查定地,資源保育,64361
法定農業用地,山坡地範圍,未查定地,道路或道路設施（含停車場）,1440
法定農業用地,山坡地範圍,未查定地,河川或水利設施,1303
法定農業用地,山坡地範圍,未查定地,農舍、住宅、工廠、商場或餐廳,1743
法定農業用地,山坡地範圍,未查定地,殯葬設施,737
法定農業用地,山坡地範圍,未查定地,土石採取或堆置,63
法定農業用地,山坡地範圍,未查定地,遊憩設施,504
法定農業用地,山坡地範圍,未查定地,其他使用,1200
法定農業用地,山坡地範圍,不屬查定土地,農糧作物,1657
法定農業用地,山坡地範圍,不屬查定土地,養殖魚塭,99
法定農業用地,山坡地範圍,不屬查定土地,畜牧使用,70
法定農業用地,山坡地範圍,不屬查定土地,林業使用,15891
法定農業用地,山坡地範圍,不屬查定土地,休閒農場,15
法定農業用地,山坡地範圍,不屬查定土地,資源保育,4010
法定農業用地,山坡地範圍,不屬查定土地,道路或道路設施（含停車場）,883
法定農業用地,山坡地範圍,不屬查定土地,河川或水利設施,3771
法定農業用地,山坡地範圍,不屬查定土地,農舍、住宅、工廠、商場或餐廳,1271
法定農業用地,山坡地範圍,不屬查定土地,殯葬設施,500
法定農業用地,山坡地範圍,不屬查定土地,土石採取或堆置,72
法定農業用地,山坡地範圍,不屬查定土地,遊憩設施,473
法定農業用地,山坡地範圍,不屬查定土地,其他使用,792
法定農業用地,山坡地範圍,林務範圍,農糧作物,16266
法定農業用地,山坡地範圍,林務範圍,養殖魚塭,15
法定農業用地,山坡地範圍,林務範圍,畜牧使用,4
法定農業用地,山坡地範圍,林務範圍,林業使用,1106092
法定農業用地,山坡地範圍,林務範圍,資源保育,70935
法定農業用地,山坡地範圍,林務範圍,道路或道路設施（含停車場）,1557
法定農業用地,山坡地範圍,林務範圍,河川或水利設施,21925
法定農業用地,山坡地範圍,林務範圍,農舍、住宅、工廠、商場或餐廳,1
法定農業用地,山坡地範圍,林務範圍,殯葬設施,170
法定農業用地,山坡地範圍,林務範圍,宗教寺廟,3
法定農業用地,山坡地範圍,林務範圍,公共或公用設施,9
法定農業用地,山坡地範圍,林務範圍,土石採取或堆置,324
法定農業用地,山坡地範圍,林務範圍,遊憩設施,37
法定農業用地,山坡地範圍,林務範圍,其他使用,3907
